,Bedroom,Bathroom,Den,Address,Lat,Long,Price
0,2,2.0,0,L5B,43.581639100000004,-79.648193,2450.0
1,1,1.0,1,M5V,43.6430505,-79.3916429,2150.0
2,1,1.0,0,M5B,43.6606054,-79.37863540000001,1950.0
3,2,2.0,0,M5J,43.6410868,-79.3814048,2900.0
4,1,1.0,0,M5T,43.6524873,-79.3896218,1800.0
5,1,1.0,0,M6K,43.6348903,-79.4346541,1729.0
6,2,1.0,0,L7S,43.328985499999995,-79.80861829999999,1685.0
7,1,1.0,0,M5V,43.6409179,-79.3939821,1900.0
8,1,1.0,0,M5V,43.6413078,-79.4000933,1900.0
9,1,1.0,1,M5V,43.6400685,-79.39996040000001,2400.0
10,1,1.0,0,M4X,43.6684679,-79.37483359999999,1750.0
11,2,1.0,0,M4X,43.6684679,-79.37483359999999,2000.0
12,1,1.0,0,M4Y,43.66472329999999,-79.38408359999998,2200.0
13,1,1.0,1,M5J,43.6408157,-79.38175229999999,2350.0
14,1,1.0,0,M5V,43.647627299999996,-79.39040809999999,2650.0
15,1,1.0,0,M5A,43.6567414,-79.3699948,1799.0
16,1,1.0,0,M5A,43.6567414,-79.3699948,1899.0
17,1,1.0,0,M5B,43.6606054,-79.37863540000001,1950.0
18,2,2.0,0,L5B,43.581639100000004,-79.648193,2450.0
19,2,2.0,0,M5V,43.6394055,-79.3932324,3150.0
20,2,2.0,0,M5E,43.64310510000001,-79.375906,3200.0
21,1,1.0,0,M5V,43.648005299999994,-79.3968338,2500.0
22,1,1.0,1,M5J,43.6418726,-79.3819064,2400.0
23,1,1.0,0,L4L,43.78318970000001,-79.5985666,1750.0
24,2,2.0,0,M5J,43.6423144,-79.3812291,3100.0
25,2,2.0,0,M8Y,43.6232891,-79.48369509999999,2999.0
26,1,1.0,0,M3H,43.7598859,-79.44313840000001,1250.0
27,1,1.0,0,M4K,43.6893623,-79.35284809999999,1825.0
28,1,1.0,1,L6X,43.6852857,-79.7614922,1900.0
29,2,1.0,0,M4K,43.6893623,-79.35284809999999,2245.0
30,1,1.0,0,M5J,43.6410868,-79.3814048,2200.0
31,1,1.0,0,M5T,43.6524873,-79.3896218,1800.0
32,1,1.0,0,M5J,43.6410868,-79.3814048,2200.0
33,2,2.0,0,M5J,43.6410868,-79.3814048,2900.0
34,1,1.0,0,M5V,43.6489727,-79.3872946,2299.0
35,1,1.0,0,M5B,43.6606054,-79.37863540000001,1950.0
36,1,1.0,0,M5B,43.6606054,-79.37863540000001,1950.0
37,2,2.0,0,M5J,43.6410868,-79.3814048,2900.0
38,1,1.0,0,M4Y,43.670878,-79.3766958,1950.0
39,1,1.0,1,M5S,43.661927,-79.3865112,2250.0
40,2,1.5,0,L7S,43.3316744,-79.81535440000002,2000.0
41,2,2.0,0,M5H,43.6505597,-79.38207220000001,2800.0
42,1,1.0,0,M5H,43.6505597,-79.38207220000001,1900.0
43,1,1.0,0,M5H,43.6505597,-79.38207220000001,1900.0
44,1,1.0,0,L5G,43.558352500000005,-79.5788687,1727.0
45,2,1.0,0,M6K,43.6371527,-79.4270923,2230.0
46,1,1.0,0,M4X,43.664055700000006,-79.3737903,1785.0
47,1,1.0,0,M4X,43.664055700000006,-79.3737903,1535.0
48,2,2.0,0,M5J,43.6410868,-79.3814048,2900.0
49,1,1.0,0,M5T,43.6524873,-79.3896218,1800.0
50,2,2.0,0,M5E,43.64310510000001,-79.375906,3200.0
51,2,2.0,0,M5V,43.647870000000005,-79.391138,2350.0
52,1,1.0,0,M6K,43.6371527,-79.4270923,1475.0
53,1,1.0,0,M4Y,43.664580799999996,-79.38229559999999,1815.0
54,1,1.0,0,M6K,43.6371527,-79.4270923,1755.0
55,1,1.0,0,M5A,43.6450775,-79.3643417,2450.0
56,1,1.0,0,M5A,43.65221029999999,-79.3707988,2200.0
57,2,1.0,0,L1N,43.8792747,-78.9346733,1350.0
58,1,1.0,1,M5H,43.64738010000001,-79.3872741,2400.0
59,1,1.0,1,M5V,43.6394055,-79.3932324,2424.0
60,1,1.0,0,M4X,43.6701586,-79.3756379,1700.0
61,1,1.0,0,M4X,43.6684679,-79.37483359999999,1400.0
62,1,1.0,0,M4X,43.6684679,-79.37483359999999,1700.0
63,1,1.0,0,L6X,43.6887398,-79.7642676,1500.0
64,2,2.0,0,L5B,43.581639100000004,-79.648193,2450.0
65,1,1.0,0,M5V,43.6489727,-79.3872946,2299.0
66,2,2.0,0,M5E,43.64310510000001,-79.375906,3200.0
67,1,1.0,0,M5V,43.6489001,-79.392205,2550.0
68,2,2.0,0,M5V,43.6394055,-79.3932324,3150.0
69,2,1.0,0,L6X,43.6887398,-79.7642676,1775.0
70,1,1.0,0,,43.850619099999996,-79.3193975,1750.0
71,1,1.0,0,M5J,43.6418064,-79.3789807,1830.0
72,1,1.0,0,M4Y,43.6655881,-79.383028,2000.0
73,2,1.0,0,M6M,43.6911466,-79.4714355,1850.0
74,2,1.0,0,M6K,43.648857799999995,-79.4330072,1300.0
75,1,1.0,1,M5J,43.6426791,-79.3769938,2275.0
76,2,1.0,0,,43.9491784,-78.2934468,1595.0
77,1,2.0,1,M5V,43.6402232,-79.395951,2500.0
78,2,2.0,0,M9C,43.6092614,-79.558998,2380.0
79,1,1.0,0,M5J,43.6419081,-79.38177979999999,2000.0
80,2,1.0,0,M6K,43.6403508,-79.42752159999999,2574.0
81,2,1.0,0,M6K,43.6403508,-79.42752159999999,2591.0
82,1,1.0,0,M6N,43.682691999999996,-79.4888656,1295.0
83,1,1.0,0,M5G,43.6541547,-79.3852113,550.0
84,2,2.0,0,M5V,43.643207700000005,-79.39211,3200.0
85,2,2.0,0,M5V,43.647870000000005,-79.391138,2350.0
86,2,2.0,0,M5J,43.6410868,-79.3814048,2900.0
87,1,1.0,0,M5J,43.6410868,-79.3814048,2200.0
88,1,1.0,0,M5T,43.6524873,-79.3896218,1800.0
89,2,2.0,0,L5B,43.581639100000004,-79.648193,2450.0
90,2,2.0,0,M5B,43.6548421,-79.37920150000001,3099.0
91,2,2.0,0,M4Y,43.6655881,-79.383028,3700.0
92,2,2.0,0,M5H,43.6504185,-79.38179079999999,3000.0
93,2,1.0,0,M5J,43.6408157,-79.38175229999999,1500.0
94,2,2.0,0,M5A,43.6551919,-79.3539119,2999.0
95,1,1.0,0,M6k,43.6399343,-79.4164454,2100.0
96,2,1.0,0,L7R,43.336221,-79.78690040000001,1775.0
97,3,1.5,0,M9N,43.705123,-79.5300905,2050.0
98,1,1.0,0,M9N,43.705123,-79.5300905,1525.0
99,2,1.0,0,M9N,43.705123,-79.5300905,1799.0
100,2,1.0,0,L7P,43.345193200000004,-79.82612879999999,1875.0
101,2,1.0,0,L7S,43.328985499999995,-79.80861829999999,1625.0
102,1,1.0,1,M5V,43.6430505,-79.3916429,2150.0
103,1,1.0,0,M5T,43.6524873,-79.3896218,1800.0
104,1,1.0,0,M5J,43.6410868,-79.3814048,2200.0
105,1,1.0,0,M5V,43.6489727,-79.3872946,2299.0
106,2,2.0,0,L5B,43.581639100000004,-79.648193,2450.0
107,1,1.0,0,M4Y,43.6695496,-79.3837757,2000.0
108,1,1.0,0,M5V,43.6469441,-79.3923973,2100.0
109,2,2.0,0,L5B,43.581639100000004,-79.648193,2300.0
110,2,2.0,0,M4Y,43.666751500000004,-79.37623549999999,4100.0
111,1,1.0,0,M5G,43.65506920000001,-79.38747049999999,1200.0
112,2,2.0,0,m1s,43.7800331,-79.28105450000001,2184.0
113,2,2.0,0,L5L,43.5464869,-79.68541570000001,2350.0
114,1,1.0,0,L5B,43.588602,-79.63170040000001,1900.0
115,1,1.0,0,M4L,43.666988700000005,-79.3146912,1100.0
116,2,2.0,0,L5B,43.581639100000004,-79.648193,2450.0
117,1,1.0,0,M5V,43.6489727,-79.3872946,2299.0
118,2,2.0,0,M5V,43.6394055,-79.3932324,3150.0
119,1,1.0,1,M5V,43.6430505,-79.3916429,2150.0
120,1,1.0,0,L3R,43.85631,-79.3286298,1800.0
121,1,1.0,1,M5A,43.65598789999999,-79.35887690000001,3200.0
122,1,1.0,1,M5J,43.6418726,-79.3819064,2400.0
123,1,1.0,0,M5V,43.640402,-79.39714670000001,2100.0
124,1,1.0,0,M4V,43.6527574,-79.3665108,2480.0
125,1,1.0,1,M5E,43.6458091,-79.3756819,3000.0
126,1,1.0,0,M4V,43.6448637,-79.3990598,2250.0
127,1,1.0,0,M5V,43.647870000000005,-79.391138,1850.0
128,2,1.0,0,L7R,43.336221,-79.78690040000001,1750.0
130,2,1.0,0,L7S,43.328985499999995,-79.80861829999999,1675.0
131,2,2.0,0,M5E,43.6458091,-79.3756819,3400.0
132,1,1.0,0,M6K,43.640845500000005,-79.4143193,2180.0
133,1,1.0,0,M4Y,43.669450700000006,-79.38747049999999,2550.0
134,1,1.0,1,L3R,43.8413607,-79.3201494,1900.0
135,1,1.0,0,L6G,43.8561002,-79.3370188,1800.0
136,1,1.0,1,M5V,43.6385213,-79.39946379999999,2300.0
137,1,1.0,0,M5B,43.660846,-79.3787556,2250.0
138,2,2.0,0,M5E,43.64310510000001,-79.375906,3200.0
139,1,1.0,0,M5J,43.6410868,-79.3814048,2200.0
140,2,2.0,0,L5B,43.581639100000004,-79.648193,2450.0
141,1,1.0,0,M5V,43.6489727,-79.3872946,2299.0
142,1,1.0,0,M5V,43.6489001,-79.392205,2550.0
143,1,1.0,0,M5E,43.6485726,-79.37627540000001,1900.0
144,1,1.0,0,L7J,43.6281687,-80.041462,1175.0
145,2,2.0,0,L6G,43.8497521,-79.32466629999999,2300.0
146,1,1.0,0,M5A,43.653075,-79.37017900000001,2000.0
147,1,1.0,1,M6H,43.6739944,-79.44168499999999,1650.0
148,2,1.0,0,M6J,43.6415686,-79.42460279999999,2889.0
149,2,2.0,0,M5B,43.6606054,-79.37863540000001,2800.0
150,1,1.0,0,M5T,43.6520426,-79.4022416,1300.0
151,2,1.0,0,L1H,43.892047399999996,-78.86086800000001,1250.0
152,1,1.0,0,M6J,43.65229779999999,-79.4069977,1300.0
153,2,1.0,0,L7R,43.336221,-79.78690040000001,1750.0
154,1,1.0,1,M5V,43.6400685,-79.39996040000001,2400.0
155,1,1.0,0,M5B,43.6606054,-79.37863540000001,2000.0
156,2,2.0,0,L5B,43.581639100000004,-79.648193,2450.0
157,1,1.0,0,M5V,43.6489727,-79.3872946,2299.0
158,1,1.0,0,M5B,43.6606054,-79.37863540000001,1950.0
159,2,2.0,0,M5J,43.6410868,-79.3814048,2900.0
160,1,1.0,0,M4Y,43.670878,-79.3766958,1950.0
161,1,1.0,1,M5S,43.661927,-79.3865112,2250.0
162,2,1.5,0,L7S,43.3316744,-79.81535440000002,2000.0
163,2,2.0,0,M5H,43.6505597,-79.38207220000001,2800.0
164,1,1.0,0,M5H,43.6505597,-79.38207220000001,1900.0
165,1,1.0,0,M5H,43.6505597,-79.38207220000001,1900.0
166,1,1.0,0,L5G,43.558352500000005,-79.5788687,1727.0
167,2,1.0,0,M6K,43.6371527,-79.4270923,2230.0
168,1,1.0,0,M4X,43.664055700000006,-79.3737903,1785.0
169,1,1.0,0,M4X,43.664055700000006,-79.3737903,1535.0
170,2,2.0,0,M5J,43.6410868,-79.3814048,2900.0
171,1,1.0,0,M5T,43.6524873,-79.3896218,1800.0
172,2,2.0,0,M5E,43.64310510000001,-79.375906,3200.0
173,2,2.0,0,M5V,43.647870000000005,-79.391138,2350.0
174,1,1.0,0,M6K,43.6371527,-79.4270923,1475.0
175,1,1.0,0,M4Y,43.664580799999996,-79.38229559999999,1815.0
176,1,1.0,0,M6K,43.6371527,-79.4270923,1755.0
177,1,1.0,0,M5A,43.6450775,-79.3643417,2450.0
178,1,1.0,0,M5A,43.65221029999999,-79.3707988,2200.0
179,2,1.0,0,L1N,43.8792747,-78.9346733,1350.0
180,1,1.0,1,M5H,43.64738010000001,-79.3872741,2400.0
181,1,1.0,1,M5V,43.6394055,-79.3932324,2424.0
182,1,1.0,0,M4X,43.6701586,-79.3756379,1700.0
183,1,1.0,0,M4X,43.6684679,-79.37483359999999,1400.0
184,1,1.0,0,M4X,43.6684679,-79.37483359999999,1700.0
185,1,1.0,0,L6X,43.6887398,-79.7642676,1500.0
186,2,2.0,0,L5B,43.581639100000004,-79.648193,2450.0
187,1,1.0,0,M5V,43.6489727,-79.3872946,2299.0
188,1,1.0,0,M5V,43.6489001,-79.392205,2550.0
189,2,2.0,0,M5V,43.6394055,-79.3932324,3150.0
190,2,1.0,0,L6X,43.6887398,-79.7642676,1775.0
191,1,1.0,0,,43.850619099999996,-79.3193975,1750.0
192,1,1.0,0,M5J,43.6418064,-79.3789807,1830.0
193,1,1.0,0,M4Y,43.6655881,-79.383028,2000.0
194,2,1.0,0,M6M,43.6911466,-79.4714355,1850.0
195,2,1.0,0,M6K,43.648857799999995,-79.4330072,1300.0
196,1,1.0,1,M5J,43.6426791,-79.3769938,2275.0
197,2,1.0,0,,43.9491784,-78.2934468,1595.0
198,1,2.0,1,M5V,43.6402232,-79.395951,2500.0
199,2,2.0,0,M9C,43.6092614,-79.558998,2380.0
200,1,1.0,0,M5J,43.6419081,-79.38177979999999,2000.0
201,2,1.0,0,M6K,43.6403508,-79.42752159999999,2574.0
202,2,1.0,0,M6K,43.6403508,-79.42752159999999,2591.0
203,1,1.0,0,M6N,43.682691999999996,-79.4888656,1295.0
204,1,1.0,0,M5G,43.6541547,-79.3852113,550.0
205,2,2.0,0,M5V,43.643207700000005,-79.39211,3200.0
206,1,1.0,0,M5J,43.6410868,-79.3814048,2200.0
207,2,2.0,0,M5B,43.6548421,-79.37920150000001,3099.0
208,2,2.0,0,M4Y,43.6655881,-79.383028,3700.0
209,2,2.0,0,M5H,43.6504185,-79.38179079999999,3000.0
210,2,1.0,0,M5J,43.6408157,-79.38175229999999,1500.0
211,2,2.0,0,M5A,43.6551919,-79.3539119,2999.0
212,1,1.0,0,M6k,43.6399343,-79.4164454,2100.0
213,2,1.0,0,L7R,43.336221,-79.78690040000001,1775.0
214,3,1.5,0,M9N,43.705123,-79.5300905,2050.0
215,1,1.0,0,M9N,43.705123,-79.5300905,1525.0
216,2,1.0,0,M9N,43.705123,-79.5300905,1799.0
217,2,1.0,0,L7P,43.345193200000004,-79.82612879999999,1875.0
218,2,1.0,0,L7S,43.328985499999995,-79.80861829999999,1625.0
219,1,1.0,1,M5V,43.6430505,-79.3916429,2150.0
220,1,1.0,0,M4Y,43.6695496,-79.3837757,2000.0
221,1,1.0,0,M5V,43.6469441,-79.3923973,2100.0
222,2,2.0,0,L5B,43.581639100000004,-79.648193,2300.0
223,2,2.0,0,M4Y,43.666751500000004,-79.37623549999999,4100.0
224,1,1.0,0,M5G,43.65506920000001,-79.38747049999999,1200.0
225,2,2.0,0,m1s,43.7800331,-79.28105450000001,2184.0
226,2,2.0,0,L5L,43.5464869,-79.68541570000001,2350.0
227,1,1.0,0,L5B,43.588602,-79.63170040000001,1900.0
228,1,1.0,0,M4L,43.666988700000005,-79.3146912,1100.0
229,1,1.0,0,L3R,43.85631,-79.3286298,1800.0
230,1,1.0,1,M5A,43.65598789999999,-79.35887690000001,3200.0
231,1,1.0,1,M5J,43.6418726,-79.3819064,2400.0
232,1,1.0,0,M5V,43.640402,-79.39714670000001,2100.0
233,1,1.0,0,M4V,43.6527574,-79.3665108,2480.0
234,1,1.0,1,M5E,43.6458091,-79.3756819,3000.0
235,1,1.0,0,M4V,43.6448637,-79.3990598,2250.0
236,1,1.0,0,M5V,43.647870000000005,-79.391138,1850.0
237,2,1.0,0,L7R,43.336221,-79.78690040000001,1750.0
239,2,1.0,0,L7S,43.328985499999995,-79.80861829999999,1675.0
240,2,2.0,0,M5E,43.6458091,-79.3756819,3400.0
241,1,1.0,0,M6K,43.640845500000005,-79.4143193,2180.0
242,1,1.0,0,M4Y,43.669450700000006,-79.38747049999999,2550.0
243,1,1.0,1,L3R,43.8413607,-79.3201494,1900.0
244,1,1.0,0,L6G,43.8561002,-79.3370188,1800.0
245,1,1.0,1,M5V,43.6385213,-79.39946379999999,2300.0
246,1,1.0,0,M5B,43.660846,-79.3787556,2250.0
247,1,1.0,0,M5E,43.6485726,-79.37627540000001,1900.0
248,1,1.0,0,L7J,43.6281687,-80.041462,1175.0
249,2,2.0,0,L6G,43.8497521,-79.32466629999999,2300.0
250,1,1.0,0,M5A,43.653075,-79.37017900000001,2000.0
251,1,1.0,1,M6H,43.6739944,-79.44168499999999,1650.0
252,2,1.0,0,M6J,43.6415686,-79.42460279999999,2889.0
253,2,2.0,0,M5B,43.6606054,-79.37863540000001,2800.0
254,1,1.0,0,M5T,43.6520426,-79.4022416,1300.0
255,2,1.0,0,L1H,43.892047399999996,-78.86086800000001,1250.0
256,1,1.0,0,M6J,43.65229779999999,-79.4069977,1300.0
257,2,1.0,0,L7R,43.336221,-79.78690040000001,1750.0
258,1,1.0,1,M5V,43.6400685,-79.39996040000001,2400.0
259,1,1.0,0,M5B,43.6606054,-79.37863540000001,2000.0
260,1,1.0,0,M5B,43.6606054,-79.37863540000001,1950.0
261,1,1.0,0,M5B,43.660269,-79.38280019999999,2450.0
262,2,2.0,0,M5B,43.660269,-79.38280019999999,3450.0
263,1,1.0,0,M5G,43.659329,-79.3826747,2350.0
264,2,2.0,0,M5B,43.656733200000005,-79.37515400000001,2900.0
265,1,1.0,1,L5B,43.589760299999995,-79.6484562,2200.0
266,1,1.0,0,M5V,43.6469441,-79.3923973,1850.0
267,1,1.0,1,L5H,43.534070899999996,-79.6245936,2150.0
268,1,1.0,0,M5A,43.653978,-79.3541341,1900.0
269,1,1.0,0,M6K,43.638700299999996,-79.4121833,2200.0
271,3,2.0,0,M5V,43.6467641,-79.3922208,3200.0
272,1,1.0,0,M5E,43.6441737,-79.3894209,2500.0
273,1,1.5,0,m8v,43.6070571,-79.4949066,1200.0
274,1,1.0,0,m5e,43.645271,-79.37639509999998,2600.0
275,1,1.0,1,M5V,43.6406042,-79.3971881,1750.0
276,2,2.0,0,M4Y,43.6695928,-79.3805797,3575.0
277,2,1.0,0,M5V,43.6383175,-79.3977947,3200.0
278,2,1.0,0,M5V,43.6469441,-79.3923973,2500.0
279,1,1.0,0,M5B,43.6606054,-79.37863540000001,1850.0
280,1,1.0,0,M5V,43.6469441,-79.3923973,2100.0
281,1,1.0,0,L7S,43.3202733,-79.8031017,1575.0
282,1,1.0,0,M5B,43.6606054,-79.37863540000001,1950.0
283,1,1.0,0,M4Y,43.6660964,-79.3873217,2400.0
284,1,2.0,1,M2j,43.7749828,-79.34509609999999,2000.0
285,2,2.0,0,M4X,43.66914570000001,-79.3759018,2000.0
286,1,1.0,0,M4X,43.66914570000001,-79.3759018,1650.0
287,1,1.0,0,M4X,43.66914570000001,-79.3759018,1550.0
288,2,1.5,0,L1H,43.8975848,-78.8553098,1250.0
289,1,2.0,1,L5B,43.5904968,-79.63292870000001,2150.0
290,1,1.0,1,M2J,43.7799939,-79.3446008,1600.0
291,3,1.5,0,M6J,43.6411088,-79.419448,3450.0
292,1,1.0,1,M5H,43.64894,-79.378086,2950.0
293,2,1.0,0,L1H,43.8975848,-78.8553098,1350.0
294,2,1.0,0,M5A,43.6519582,-79.3688547,2550.0
295,1,1.0,0,M5V,43.6367593,-79.3978503,1900.0
296,1,1.0,1,m8v,43.62160170000001,-79.4828681,2450.0
297,1,1.0,1,M4Y,43.6618956,-79.3857479,2500.0
298,1,1.0,0,M5J,43.64005770000001,-79.379201,2800.0
299,1,1.0,0,L6G,43.8516467,-79.326656,1600.0
300,1,1.0,1,M5A,43.658981,-79.36291899999999,2099.0
301,1,1.0,1,M5A,43.652576399999994,-79.36706590000001,2350.0
302,1,1.0,1,M5A,43.652576399999994,-79.36706590000001,2350.0
303,1,1.0,0,M4V,43.688897100000005,-79.41198359999999,1617.0
304,2,1.0,0,L1J,43.8929835,-78.8727317,1500.0
305,1,1.0,0,M5T,43.654757700000005,-79.4008271,1750.0
306,1,1.0,0,M5V,43.647632,-79.39296259999999,2100.0
307,1,1.0,0,M5B,43.6606054,-79.37863540000001,1950.0
308,2,2.0,0,L6G,43.84993789999999,-79.3275055,2150.0
309,2,2.0,0,M5J,43.6421671,-79.3819283,2800.0
310,2,1.5,0,L7S,43.3316744,-79.81535440000002,2000.0
311,2,2.0,0,M5H,43.6505597,-79.38207220000001,2800.0
312,1,1.0,0,M5H,43.6505597,-79.38207220000001,1900.0
313,1,1.0,0,M5H,43.6505597,-79.38207220000001,1900.0
314,1,1.0,0,M5A,43.6450775,-79.3643417,2450.0
315,1,1.0,0,M5A,43.65221029999999,-79.3707988,2200.0
316,2,1.0,0,L1N,43.8792747,-78.9346733,1350.0
317,1,1.0,1,M5H,43.64738010000001,-79.3872741,2400.0
318,1,1.0,1,M5V,43.6394055,-79.3932324,2424.0
319,1,1.0,0,M4X,43.6701586,-79.3756379,1700.0
320,1,1.0,0,M4X,43.6684679,-79.37483359999999,1400.0
321,1,1.0,0,M4X,43.6684679,-79.37483359999999,1700.0
322,1,1.0,0,L6X,43.6887398,-79.7642676,1500.0
323,2,1.0,0,L6X,43.6887398,-79.7642676,1775.0
324,1,1.0,0,M5J,43.6418064,-79.3789807,1830.0
325,1,1.0,0,M4Y,43.6655881,-79.383028,2000.0
326,2,1.0,0,M6M,43.6911466,-79.4714355,1850.0
327,2,1.0,0,M6K,43.648857799999995,-79.4330072,1300.0
328,1,1.0,1,M5J,43.6426791,-79.3769938,2275.0
329,1,1.0,0,M5T,43.6531643,-79.3900311,2480.0
330,2,2.0,0,M5V,43.647870000000005,-79.391138,2350.0
331,2,2.0,0,M5E,43.64310510000001,-79.375906,3200.0
332,2,1.0,0,,43.9491784,-78.2934468,1595.0
333,1,2.0,1,M5V,43.6402232,-79.395951,2500.0
334,2,2.0,0,M9C,43.6092614,-79.558998,2380.0
335,1,1.0,0,M5J,43.6419081,-79.38177979999999,2000.0
336,2,1.0,0,M6K,43.6403508,-79.42752159999999,2574.0
337,2,1.0,0,M6K,43.6403508,-79.42752159999999,2591.0
338,1,1.0,0,M6N,43.682691999999996,-79.4888656,1295.0
339,1,1.0,0,M5G,43.6541547,-79.3852113,550.0
340,2,2.0,0,M5B,43.6548421,-79.37920150000001,3099.0
341,2,2.0,0,M4Y,43.6655881,-79.383028,3700.0
342,2,1.0,0,M5J,43.6408157,-79.38175229999999,1500.0
343,2,2.0,0,M5A,43.6551919,-79.3539119,2999.0
344,1,1.0,0,M6k,43.6399343,-79.4164454,2100.0
345,3,1.5,0,M9N,43.705123,-79.5300905,2050.0
346,1,1.0,0,M9N,43.705123,-79.5300905,1525.0
347,2,1.0,0,M9N,43.705123,-79.5300905,1799.0
348,2,1.0,0,L7P,43.345193200000004,-79.82612879999999,1875.0
349,2,1.0,0,L7S,43.328985499999995,-79.80861829999999,1625.0
350,1,1.0,1,M5V,43.6400685,-79.39996040000001,2400.0
351,1,1.0,0,M4Y,43.664843700000006,-79.3859297,2500.0
352,2,1.0,0,M5V,43.645641,-79.39295340000001,1900.0
353,1,1.0,0,M5J,43.6410868,-79.3814048,2200.0
354,1,1.0,0,M5V,43.647627299999996,-79.39040809999999,2650.0
355,1,1.0,0,M4Y,43.6695496,-79.3837757,2000.0
356,2,2.0,0,L5B,43.581639100000004,-79.648193,2300.0
357,1,1.0,0,M5G,43.65506920000001,-79.38747049999999,1200.0
358,2,2.0,0,m1s,43.7800331,-79.28105450000001,2184.0
359,2,2.0,0,L5L,43.5464869,-79.68541570000001,2350.0
360,1,1.0,0,L5B,43.588602,-79.63170040000001,1900.0
361,1,1.0,0,M4L,43.666988700000005,-79.3146912,1100.0
362,1,1.0,0,L3R,43.85631,-79.3286298,1800.0
363,1,1.0,1,M5A,43.65598789999999,-79.35887690000001,3200.0
364,1,1.0,1,M5J,43.6418726,-79.3819064,2400.0
365,1,1.0,0,M5V,43.640402,-79.39714670000001,2100.0
366,1,1.0,0,M4V,43.6527574,-79.3665108,2480.0
367,1,1.0,1,M5E,43.6458091,-79.3756819,3000.0
368,1,1.0,0,M4V,43.6448637,-79.3990598,2250.0
369,1,1.0,0,M5V,43.647870000000005,-79.391138,1850.0
370,2,1.0,0,L7R,43.336221,-79.78690040000001,1750.0
372,2,2.0,0,M5E,43.6458091,-79.3756819,3400.0
373,1,1.0,0,M6K,43.640845500000005,-79.4143193,2180.0
