,Bedroom,Bathroom,Den,Lat,Long,Price,Postal Code,Borough,Downtown Proximity,Borough Color
0,1,1.0,1,43.6430505,-79.3916429,2150.0,M5V,Downtown Toronto,0.10692090314989566,1
1,1,1.0,0,43.6409179,-79.3939821,1900.0,M5V,Downtown Toronto,0.13412750321682917,1
2,1,1.0,0,43.6413078,-79.4000933,1900.0,M5V,Downtown Toronto,0.16932984908143844,1
3,1,1.0,1,43.6400685,-79.39996040000003,2400.0,M5V,Downtown Toronto,0.17544290924269376,1
4,1,1.0,0,43.6476273,-79.39040809999999,2650.0,M5V,Downtown Toronto,0.0687141759505223,1
5,2,2.0,0,43.6394055,-79.3932324,3150.0,M5V,Downtown Toronto,0.14143144109054817,1
6,1,1.0,0,43.6480053,-79.3968338,2500.0,M5V,Downtown Toronto,0.11350822874090555,1
7,1,1.0,0,43.6489727,-79.3872946,2299.0,M5V,Downtown Toronto,0.04242862449108016,1
8,2,2.0,0,43.64787000000001,-79.391138,2350.0,M5V,Downtown Toronto,0.07189333224228309,1
9,1,1.0,1,43.6394055,-79.3932324,2424.0,M5V,Downtown Toronto,0.14143144109054817,1
10,1,1.0,0,43.6489727,-79.3872946,2299.0,M5V,Downtown Toronto,0.04242862449108016,1
11,1,1.0,0,43.6489001,-79.392205,2550.0,M5V,Downtown Toronto,0.07396998848521168,1
12,2,2.0,0,43.6394055,-79.3932324,3150.0,M5V,Downtown Toronto,0.14143144109054817,1
13,1,2.0,1,43.6402232,-79.395951,2500.0,M5V,Downtown Toronto,0.14970508735186822,1
14,2,2.0,0,43.64320770000001,-79.39211,3200.0,M5V,Downtown Toronto,0.10815345017278057,1
15,2,2.0,0,43.64787000000001,-79.391138,2350.0,M5V,Downtown Toronto,0.07189333224228309,1
16,1,1.0,1,43.6430505,-79.3916429,2150.0,M5V,Downtown Toronto,0.10692090314989566,1
17,1,1.0,0,43.6489727,-79.3872946,2299.0,M5V,Downtown Toronto,0.04242862449108016,1
18,1,1.0,0,43.6469441,-79.3923973,2100.0,M5V,Downtown Toronto,0.0855901881622868,1
19,1,1.0,0,43.6489727,-79.3872946,2299.0,M5V,Downtown Toronto,0.04242862449108016,1
20,2,2.0,0,43.6394055,-79.3932324,3150.0,M5V,Downtown Toronto,0.14143144109054817,1
21,1,1.0,1,43.6430505,-79.3916429,2150.0,M5V,Downtown Toronto,0.10692090314989566,1
22,1,1.0,0,43.640402,-79.39714670000002,2100.0,M5V,Downtown Toronto,0.15557449120895708,1
23,1,1.0,0,43.64787000000001,-79.391138,1850.0,M5V,Downtown Toronto,0.07189333224228309,1
24,1,1.0,1,43.6385213,-79.39946379999998,2300.0,M5V,Downtown Toronto,0.1816278228043028,1
25,1,1.0,0,43.6489727,-79.3872946,2299.0,M5V,Downtown Toronto,0.04242862449108016,1
26,1,1.0,0,43.6489001,-79.392205,2550.0,M5V,Downtown Toronto,0.07396998848521168,1
27,1,1.0,1,43.6400685,-79.39996040000003,2400.0,M5V,Downtown Toronto,0.17544290924269376,1
28,1,1.0,0,43.6489727,-79.3872946,2299.0,M5V,Downtown Toronto,0.04242862449108016,1
29,2,2.0,0,43.64787000000001,-79.391138,2350.0,M5V,Downtown Toronto,0.07189333224228309,1
30,1,1.0,1,43.6394055,-79.3932324,2424.0,M5V,Downtown Toronto,0.14143144109054817,1
31,1,1.0,0,43.6489727,-79.3872946,2299.0,M5V,Downtown Toronto,0.04242862449108016,1
32,1,1.0,0,43.6489001,-79.392205,2550.0,M5V,Downtown Toronto,0.07396998848521168,1
33,2,2.0,0,43.6394055,-79.3932324,3150.0,M5V,Downtown Toronto,0.14143144109054817,1
34,1,2.0,1,43.6402232,-79.395951,2500.0,M5V,Downtown Toronto,0.14970508735186822,1
35,2,2.0,0,43.64320770000001,-79.39211,3200.0,M5V,Downtown Toronto,0.10815345017278057,1
36,1,1.0,1,43.6430505,-79.3916429,2150.0,M5V,Downtown Toronto,0.10692090314989566,1
37,1,1.0,0,43.6469441,-79.3923973,2100.0,M5V,Downtown Toronto,0.0855901881622868,1
38,1,1.0,0,43.640402,-79.39714670000002,2100.0,M5V,Downtown Toronto,0.15557449120895708,1
39,1,1.0,0,43.64787000000001,-79.391138,1850.0,M5V,Downtown Toronto,0.07189333224228309,1
40,1,1.0,1,43.6385213,-79.39946379999998,2300.0,M5V,Downtown Toronto,0.1816278228043028,1
41,1,1.0,1,43.6400685,-79.39996040000003,2400.0,M5V,Downtown Toronto,0.17544290924269376,1
42,1,1.0,0,43.6469441,-79.3923973,1850.0,M5V,Downtown Toronto,0.0855901881622868,1
43,3,2.0,0,43.6467641,-79.3922208,3200.0,M5V,Downtown Toronto,0.08547068965576554,1
44,1,1.0,1,43.6406042,-79.3971881,1750.0,M5V,Downtown Toronto,0.1545444048277825,1
45,2,1.0,0,43.6383175,-79.3977947,3200.0,M5V,Downtown Toronto,0.1729785630175642,1
46,2,1.0,0,43.6469441,-79.3923973,2500.0,M5V,Downtown Toronto,0.0855901881622868,1
47,1,1.0,0,43.6469441,-79.3923973,2100.0,M5V,Downtown Toronto,0.0855901881622868,1
48,1,1.0,0,43.6367593,-79.3978503,1900.0,M5V,Downtown Toronto,0.18384769408241786,1
49,1,1.0,0,43.647632,-79.39296259999998,2100.0,M5V,Downtown Toronto,0.08574416677447882,1
50,1,1.0,1,43.6394055,-79.3932324,2424.0,M5V,Downtown Toronto,0.14143144109054817,1
51,2,2.0,0,43.64787000000001,-79.391138,2350.0,M5V,Downtown Toronto,0.07189333224228309,1
52,1,2.0,1,43.6402232,-79.395951,2500.0,M5V,Downtown Toronto,0.14970508735186822,1
53,1,1.0,1,43.6400685,-79.39996040000003,2400.0,M5V,Downtown Toronto,0.17544290924269376,1
54,2,1.0,0,43.645641,-79.39295340000002,1900.0,M5V,Downtown Toronto,0.09690979492416021,1
55,1,1.0,0,43.6476273,-79.39040809999999,2650.0,M5V,Downtown Toronto,0.0687141759505223,1
56,1,1.0,0,43.640402,-79.39714670000002,2100.0,M5V,Downtown Toronto,0.15557449120895708,1
57,1,1.0,0,43.64787000000001,-79.391138,1850.0,M5V,Downtown Toronto,0.07189333224228309,1
58,1,1.0,1,43.6385213,-79.39946379999998,2300.0,M5V,Downtown Toronto,0.1816278228043028,1
59,1,1.0,1,43.6400685,-79.39996040000003,2400.0,M5V,Downtown Toronto,0.17544290924269376,1
60,1,1.0,0,43.6469441,-79.3923973,1850.0,M5V,Downtown Toronto,0.0855901881622868,1
61,3,2.0,0,43.6467641,-79.3922208,3200.0,M5V,Downtown Toronto,0.08547068965576554,1
62,2,1.0,0,43.6383175,-79.3977947,3200.0,M5V,Downtown Toronto,0.1729785630175642,1
63,2,1.0,0,43.6469441,-79.3923973,2500.0,M5V,Downtown Toronto,0.0855901881622868,1
64,1,1.0,0,43.6469441,-79.3923973,2100.0,M5V,Downtown Toronto,0.0855901881622868,1
65,1,1.0,1,43.6430505,-79.3916429,2150.0,M5V,Downtown Toronto,0.10692090314989566,1
66,1,1.0,0,43.6367593,-79.3978503,1900.0,M5V,Downtown Toronto,0.18384769408241786,1
67,1,1.0,1,43.6408637,-79.39573929999997,2350.0,M5V,Downtown Toronto,0.14422745075091292,1
68,3,2.0,0,43.6387842,-79.3988635,3500.0,M5V,Downtown Toronto,0.17628839934208285,1
69,1,1.0,1,43.6476244,-79.3968608,2700.0,M5V,Downtown Toronto,0.11518400146443727,1
70,1,1.0,0,43.640402,-79.39714670000002,2100.0,M5V,Downtown Toronto,0.15557449120895708,1
71,1,1.0,0,43.6434855,-79.39230450000002,2300.0,M5V,Downtown Toronto,0.10722438937436975,1
72,1,1.0,0,43.6469441,-79.3923973,2090.0,M5V,Downtown Toronto,0.0855901881622868,1
73,1,1.0,0,43.6469441,-79.3923973,2150.0,M5V,Downtown Toronto,0.0855901881622868,1
74,1,1.0,0,43.6489727,-79.3872946,2299.0,M5V,Downtown Toronto,0.04242862449108016,1
75,1,1.0,0,43.6476273,-79.39040809999999,2650.0,M5V,Downtown Toronto,0.0687141759505223,1
76,1,1.0,1,43.6400685,-79.39996040000003,2400.0,M5V,Downtown Toronto,0.17544290924269376,1
77,1,1.0,0,43.647632,-79.39296259999998,2100.0,M5V,Downtown Toronto,0.08574416677447882,1
78,1,1.0,0,43.6489001,-79.392205,2100.0,M5V,Downtown Toronto,0.07396998848521168,1
79,2,2.0,0,43.64787000000001,-79.391138,2350.0,M5V,Downtown Toronto,0.07189333224228309,1
80,1,1.0,0,43.6439201,-79.3994776,2700.0,M5V,Downtown Toronto,0.151443417370067,1
81,1,1.0,1,43.6397355,-79.3904175,2600.0,M5V,Downtown Toronto,0.12738905281851867,1
82,1,2.0,0,43.6453398,-79.4021851,2650.0,M5V,Downtown Toronto,0.16606437083718179,1
83,3,2.0,0,43.6503403,-79.3876465,3900.0,M5V,Downtown Toronto,0.034690959044006306,1
84,1,1.0,0,43.6434855,-79.39230450000002,2100.0,M5V,Downtown Toronto,0.10722438937436975,1
85,1,1.0,0,43.6469441,-79.3923973,2050.0,M5V,Downtown Toronto,0.0855901881622868,1
86,1,1.0,0,43.6447693,-79.3970587,1600.0,M5V,Downtown Toronto,0.12967893976657147,1
87,2,2.0,0,43.6460058,-79.38990849999998,3100.0,M5V,Downtown Toronto,0.07687644331397987,1
88,1,1.0,1,43.64140820000001,-79.3912531,2950.0,M5V,Downtown Toronto,0.11743337069345293,1
89,1,1.0,0,43.64514929999999,-79.39081329999998,1300.0,M5V,Downtown Toronto,0.08764686413711018,1
90,2,1.0,0,43.645641,-79.39295340000002,1900.0,M5V,Downtown Toronto,0.09690979492416021,1
91,1,2.0,0,43.640402,-79.39714670000002,3600.0,M5V,Downtown Toronto,0.15557449120895708,1
92,2,2.0,0,43.6487831,-79.3880423,4050.0,M5V,Downtown Toronto,0.04747156808520708,1
93,2,2.0,0,43.6487831,-79.3880423,4100.0,M5V,Downtown Toronto,0.04747156808520708,1
94,1,1.0,1,43.6469126,-79.3902415,2300.0,M5V,Downtown Toronto,0.07237775992976608,1
95,2,1.5,0,43.6421316,-79.4013687,2300.0,M5V,Downtown Toronto,0.17402080363895045,1
96,1,1.0,0,43.6454236,-79.3962213,2200.0,M5V,Downtown Toronto,0.12034388839119937,1
97,1,1.0,0,43.6361646,-79.4033004,2200.0,M5V,Downtown Toronto,0.2202634628485567,1
98,2,1.0,0,43.6412101,-79.3938921,2600.0,M5V,Downtown Toronto,0.1315978846963441,1
99,1,1.0,0,43.6452974,-79.3923967,4700.0,M5V,Downtown Toronto,0.09560425950995549,1
100,1,1.0,0,43.6469441,-79.3923973,2050.0,M5V,Downtown Toronto,0.0855901881622868,1
101,2,2.0,0,43.6344756,-79.4015886,3300.0,M5V,Downtown Toronto,0.2203727342053327,1
102,1,1.0,0,43.6446286,-79.3929331,2300.0,M5V,Downtown Toronto,0.10312038676283507,1
103,1,1.0,0,43.6394055,-79.3932324,2300.0,M5V,Downtown Toronto,0.14143144109054817,1
104,1,1.0,1,43.6405271,-79.397104,2350.0,M5V,Downtown Toronto,0.15451960886313112,1
105,1,1.0,0,43.6413078,-79.4000933,850.0,M5V,Downtown Toronto,0.16932984908143844,1
106,2,2.0,0,43.6366681,-79.40044509999998,2600.0,M5V,Downtown Toronto,0.19935599941793178,1
107,1,1.0,0,43.6394055,-79.3932324,2000.0,M5V,Downtown Toronto,0.14143144109054817,1
108,1,1.0,0,43.6387842,-79.3988635,2600.0,M5V,Downtown Toronto,0.17628839934208285,1
109,2,2.0,0,43.6467641,-79.3922208,2500.0,M5V,Downtown Toronto,0.08547068965576554,1
110,1,1.0,1,43.6464345,-79.3918689,2450.0,M5V,Downtown Toronto,0.08520755261599357,1
111,1,1.0,0,43.6464345,-79.3918689,2450.0,M5V,Downtown Toronto,0.08520755261599357,1
112,1,1.0,0,43.64446020000001,-79.4024689,2200.0,M5V,Downtown Toronto,0.17175187347035814,1
113,2,2.0,0,43.6487831,-79.3880423,4000.0,M5V,Downtown Toronto,0.04747156808520708,1
114,1,1.0,1,43.6469441,-79.3923973,2300.0,M5V,Downtown Toronto,0.0855901881622868,1
115,1,1.0,0,43.6387842,-79.3988635,2600.0,M5V,Downtown Toronto,0.17628839934208285,1
116,1,1.0,0,43.6393466,-79.3997415,2150.0,M5V,Downtown Toronto,0.17830001556607192,1
117,1,1.0,1,43.641365500000006,-79.3914457,2300.0,M5V,Downtown Toronto,0.11859184542867353,1
118,1,1.0,0,43.6375235,-79.40087700000002,2400.0,M5V,Downtown Toronto,0.19661661714437687,1
119,1,1.0,0,43.64539600000001,-79.3942439,1900.0,M5V,Downtown Toronto,0.10677603458655606,1
120,2,2.0,0,43.64539600000001,-79.3942439,2500.0,M5V,Downtown Toronto,0.10677603458655606,1
121,1,1.0,0,43.6475126,-79.3927022,1600.0,M5V,Downtown Toronto,0.08453103980124471,1
122,1,1.0,0,43.6351036,-79.40101329999997,2100.0,M5V,Downtown Toronto,0.2128851455355085,1
123,1,1.0,0,43.6469441,-79.3923973,2200.0,M5V,Downtown Toronto,0.0855901881622868,1
124,1,1.0,0,43.6460058,-79.38990849999998,1900.0,M5V,Downtown Toronto,0.07687644331397987,1
125,1,1.0,0,43.6487831,-79.3880423,2250.0,M5V,Downtown Toronto,0.04747156808520708,1
126,1,2.0,0,43.6402232,-79.395951,2500.0,M5V,Downtown Toronto,0.14970508735186822,1
127,1,1.0,0,43.6489727,-79.3872946,2350.0,M5V,Downtown Toronto,0.04242862449108016,1
128,1,1.0,1,43.6390962,-79.3864748,2600.0,M5V,Downtown Toronto,0.12327782374617481,1
129,2,2.0,0,43.6375235,-79.40087700000002,3500.0,M5V,Downtown Toronto,0.19661661714437687,1
130,1,1.0,0,43.653226,-79.3831843,2000.0,M5V,Downtown Toronto,0.003084480358996262,1
131,1,1.0,1,43.6476273,-79.39040809999999,2350.0,M5V,Downtown Toronto,0.0687141759505223,1
132,1,1.0,0,43.6374082,-79.40664609999997,1900.0,M5V,Downtown Toronto,0.2359234900801673,1
133,1,1.0,1,43.641365500000006,-79.3914457,2700.0,M5V,Downtown Toronto,0.11859184542867353,1
134,1,1.0,1,43.6403804,-79.3973372,2150.0,M5V,Downtown Toronto,0.15687033335228978,1
135,1,1.0,1,43.64787000000001,-79.391138,3300.0,M5V,Downtown Toronto,0.07189333224228309,1
136,2,2.0,0,43.6439877,-79.4014038,2800.0,M5V,Downtown Toronto,0.1655429281175516,1
137,1,1.0,1,43.6469441,-79.3923973,2350.0,M5V,Downtown Toronto,0.0855901881622868,1
138,1,1.0,0,43.64595429999999,-79.4039853,1800.0,M5V,Downtown Toronto,0.17837403313585412,1
139,2,1.0,0,43.6400685,-79.39996040000003,2800.0,M5V,Downtown Toronto,0.17544290924269376,1
140,1,1.0,0,43.6450503,-79.39134109999998,3000.0,M5V,Downtown Toronto,0.09116777649934317,1
141,1,1.0,0,43.64393870000001,-79.4014775,1900.0,M5V,Downtown Toronto,0.16631963068958172,1
142,1,1.0,1,43.6469441,-79.3923973,2400.0,M5V,Downtown Toronto,0.0855901881622868,1
143,1,1.0,0,43.6402232,-79.395951,2200.0,M5V,Downtown Toronto,0.14970508735186822,1
144,2,2.0,0,43.6404783,-79.3949699,3130.0,M5V,Downtown Toronto,0.1424902703078573,1
145,1,1.0,0,43.6475126,-79.3927022,3750.0,M5V,Downtown Toronto,0.08453103980124471,1
146,1,1.0,1,43.6404402,-79.3918535,2550.0,M5V,Downtown Toronto,0.12743845886195548,1
147,2,1.0,0,43.6430555,-79.3961791,1700.0,M5V,Downtown Toronto,0.13315702259577017,1
148,2,2.0,0,43.6363456,-79.404535,2800.0,M5V,Downtown Toronto,0.22726853767056743,1
149,1,1.0,0,43.6438459,-79.391824,2400.0,M5V,Downtown Toronto,0.1021463958298389,1
150,1,1.0,0,43.6438459,-79.391824,2400.0,M5V,Downtown Toronto,0.1021463958298389,1
151,1,1.5,1,43.6449299,-79.3921465,2650.0,M5V,Downtown Toronto,0.09651908662741873,1
152,1,1.0,0,43.6410109,-79.4012807,2100.0,M5V,Downtown Toronto,0.17917323266825919,1
153,1,1.0,0,43.6407261,-79.3955671,1950.0,M5V,Downtown Toronto,0.14415048983903017,1
154,1,1.0,0,43.6489727,-79.3872946,2100.0,M5V,Downtown Toronto,0.04242862449108016,1
155,2,2.0,0,43.64618839999999,-79.3972358,3950.0,M5V,Downtown Toronto,0.12414374428393966,1
156,1,1.0,0,43.6489727,-79.3872946,2150.0,M5V,Downtown Toronto,0.04242862449108016,1
157,1,1.0,0,43.6472259,-79.3911003,2500.0,M5V,Downtown Toronto,0.0755100929865551,1
158,1,1.0,0,43.64787000000001,-79.391138,2200.0,M5V,Downtown Toronto,0.07189333224228309,1
159,2,2.0,0,43.6387842,-79.3988635,3200.0,M5V,Downtown Toronto,0.17628839934208285,1
160,1,1.0,1,43.6409179,-79.3939821,2200.0,M5V,Downtown Toronto,0.13412750321682917,1
161,1,1.0,0,43.6397355,-79.3904175,2200.0,M5V,Downtown Toronto,0.12738905281851867,1
162,2,2.0,0,43.6460058,-79.38990849999998,3050.0,M5V,Downtown Toronto,0.07687644331397987,1
163,2,1.5,0,43.6476349,-79.39248359999998,1200.0,M5V,Downtown Toronto,0.08235074370243554,1
164,1,1.0,1,43.6469441,-79.3923973,2250.0,M5V,Downtown Toronto,0.0855901881622868,1
165,1,1.0,1,43.6469441,-79.3923973,2250.0,M5V,Downtown Toronto,0.0855901881622868,1
166,1,1.0,0,43.63859229999999,-79.40099479999998,1900.0,M5V,Downtown Toronto,0.19088671388953135,1
167,1,1.0,0,43.6385213,-79.39946379999998,2450.0,M5V,Downtown Toronto,0.1816278228043028,1
168,1,1.0,1,43.6465174,-79.3872066,3600.0,M5V,Downtown Toronto,0.06148889096008496,1
169,1,1.0,0,43.6490235,-79.3884001,2200.0,M5V,Downtown Toronto,0.04775109580051075,1
170,1,1.0,0,43.6364097,-79.40200340000001,1800.0,M5V,Downtown Toronto,0.21054471386095341,1
171,1,1.0,0,43.6418699,-79.38984570000002,1350.0,M5V,Downtown Toronto,0.10820201567366348,1
172,1,1.0,0,43.6462197,-79.3981256,2175.0,M5V,Downtown Toronto,0.13078670180178428,1
173,2,2.0,0,43.6490235,-79.3884001,4500.0,M5V,Downtown Toronto,0.04775109580051075,1
174,1,1.0,0,43.6494054,-79.3927116,2000.0,M5V,Downtown Toronto,0.07558216146390198,1
175,1,1.0,0,43.653226,-79.3831843,2175.0,M5V,Downtown Toronto,0.003084480358996262,1
176,1,1.0,0,43.6409222,-79.39398299999998,1900.0,M5V,Downtown Toronto,0.13410193135599108,1
177,1,1.5,1,43.6375098,-79.39777740000002,2400.0,M5V,Downtown Toronto,0.17830819192348013,1
178,1,1.0,1,43.6476273,-79.39040809999999,2600.0,M5V,Downtown Toronto,0.0687141759505223,1
179,1,1.0,0,43.64187379999999,-79.4103246,2100.0,M5V,Downtown Toronto,0.2437972050453478,1
180,1,1.0,0,43.6489727,-79.3872946,2200.0,M5V,Downtown Toronto,0.04242862449108016,1
181,3,3.0,0,43.6425685,-79.39345959999999,4900.0,M5V,Downtown Toronto,0.11984479782646078,1
182,1,1.0,0,43.6468075,-79.40279790000002,2150.0,M5V,Downtown Toronto,0.1659107568887736,1
183,2,1.0,0,43.6289467,-79.3944199,3200.0,M5V,Downtown Toronto,0.22848657683904164,1
184,1,1.0,1,43.6402671,-79.3910061,2500.0,M5V,Downtown Toronto,0.12531466103792363,1
185,1,1.0,0,43.6455947,-79.38606300000002,2000.0,M5V,Downtown Toronto,0.06637274892007385,1
186,1,1.0,0,43.6464336,-79.39780640000002,2500.0,M5V,Downtown Toronto,0.1274201943428007,1
187,1,1.0,1,43.6408637,-79.39573929999997,2350.0,M5V,Downtown Toronto,0.14422745075091292,1
188,1,1.0,0,43.6384219,-79.39759559999997,2000.0,M5V,Downtown Toronto,0.17114009202761693,1
189,2,2.0,0,43.6476244,-79.3968608,2850.0,M5V,Downtown Toronto,0.11518400146443727,1
190,1,1.0,0,43.645641,-79.39295340000002,2400.0,M5V,Downtown Toronto,0.09690979492416021,1
